Sample_name	Cell_line
ENCFF120BSU	CD14-positive monocyte
ENCFF120IZG	Skeletal muscle satellite cell
ENCFF123KKT	HUES48
ENCFF128BLQ	Amnion
ENCFF128QZU	Thymus
ENCFF128WJV	Peripheral blood mononuclear cell
ENCFF129IHA	Body of pancreas
ENCFF143ZEI	Large intestine
ENCFF145DZX	GM08714
ENCFF152AUP	WERI-Rb-1
ENCFF152QBG	SK-N-SH
ENCFF160VJE	IPS DF 19.11
ENCFF165AET	Chorionic villus
ENCFF168KNA	SK-N-SH
ENCFF173WKM	Panc1
ENCFF176UNG	Mucosa of stomach
ENCFF176YCB	GM23248
ENCFF187UKC	Hepatocyte
ENCFF189CGV	Sigmoid colon
ENCFF191MHO	Placenta
ENCFF199JMZ	HeLa-S3
ENCFF201KBA	HeLa-S3 G1b phase
ENCFF202NNB	Layer of hippocampus
ENCFF208NAK	Placenta
ENCFF210VAN	Neurosphere
ENCFF212KLE	Thymus
ENCFF216VYE	Endocrine pancreas
ENCFF221ZKT	T-cell
ENCFF230BUV	Stomach
ENCFF232XJA	PC-9
ENCFF237SJE	A549 treated with 0.02% ethanol for 1 hour
ENCFF238AYS	GM12878
ENCFF239LEL	SK-N-SH treated with 6 μM all-trans-retinoic acid for 48 hours
ENCFF241XDD	T-cell
ENCFF244AEM	Colonic mucosa
ENCFF247HCH	Common myeloid progenitor, CD34-positive
ENCFF249MLW	MCF-7
ENCFF253WGM	MCF-7
ENCFF261REY	K562
ENCFF273UNN	Myoepithelial cell of mammary gland
ENCFF275WQS	LNCaP clone FGC
ENCFF277COJ	IPS DF 19.11
ENCFF280QNB	Keratinocyte
ENCFF282LNM	K562
ENCFF282PWJ	CD8-positive, alpha-beta T cell
ENCFF282YKM	UCSF-4
ENCFF283EDY	Caco-2
ENCFF283QFH	Common myeloid progenitor, CD34-positive
ENCFF292NGD	Stomach
ENCFF292YSJ	Cardiac muscle cell
ENCFF304FUM	CD4-positive, alpha-beta memory T cell
ENCFF308QCX	Caco-2
ENCFF309QDB	Sigmoid colon
ENCFF313TAJ	WI38
ENCFF314GKM	K562
ENCFF316LZA	Chorionic villus embryo 
ENCFF316XNP	Mammary epithelial cell
ENCFF319OQP	Liver
ENCFF320BLG	Liver
ENCFF324VMF	Trophoblast cell
ENCFF325TPC	IPS-11a
ENCFF328PHY	CD4-positive, alpha-beta T cell treated with phorbol 13-acetate 12-myristate , ionomycin
ENCFF336AOR	Skeletal muscle myoblast
ENCFF337YDJ	Myoepithelial cell of mammary gland
ENCFF345JCH	Common myeloid progenitor, CD34-positive
ENCFF348BCT	Endocrine pancreas
ENCFF349ISL	Fibroblast of lung
ENCFF354NSJ	CD14-positive monocyte
ENCFF358TTB	CD8-positive, alpha-beta memory T cell
ENCFF360PXB	Mammary epithelial cell
ENCFF368BLZ	GM12878
ENCFF368TAO	Brain
ENCFF370CVB	A549
ENCFF370SGT	Peripheral blood mononuclear cell
ENCFF378CBE	Cingulate gyrus
ENCFF379WDR	Effector memory CD4-positive, alpha-beta T cell
ENCFF380INR	GM12865
ENCFF381RCI	Upper lobe of left lung
ENCFF382WZJ	Mesendoderm
ENCFF385DTB	Brain
ENCFF386KUS	H9
ENCFF386QZF	Neurosphere
ENCFF395FWV	Aorta
ENCFF396HIC	H7
ENCFF397KEL	H1
ENCFF402BJJ	PC-3
ENCFF403NIO	HCT116
ENCFF403OOI	Cardiovascular progenitor cell
ENCFF404BRA	Myotube
ENCFF406QTB	K562
ENCFF408BXF	Small intestine
ENCFF409WSB	Angular gyrus
ENCFF409ZIR	Foreskin melanocyte
ENCFF411VLT	HepG2
ENCFF412GHV	T-cell
ENCFF412ZGA	Brain
ENCFF413QBE	UCSF-4
ENCFF414GLB	Foreskin keratinocyte
ENCFF416MGV	Small intestine
ENCFF422CQH	HCT116
ENCFF429CCM	HFF-Myc
ENCFF434CRP	CD14-positive monocyte
