Sample_ID	Sample_illustration
CL40_LARGE_INTESTINE	Large_intestine carcinoma
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
COLO201_LARGE_INTESTINE	Large_intestine carcinoma
COLO320_LARGE_INTESTINE	Large_intestine carcinoma
COLO668_LUNG	Lung carcinoma
COLO678_LARGE_INTESTINE	Large_intestine carcinoma
COLO679_SKIN	Skin malignant_melanoma
COLO680N_OESOPHAGUS	Oesophagus carcinoma
COLO684_ENDOMETRIUM	Endometrium carcinoma
COLO741_SKIN	Skin malignant_melanoma
COLO783_SKIN	Skin malignant_melanoma
COLO792_SKIN	Skin malignant_melanoma
COLO800_SKIN	Skin malignant_melanoma
COLO829_SKIN	Skin malignant_melanoma
CORL105_LUNG	Lung carcinoma
CORL23_LUNG	Lung carcinoma
CORL24_LUNG	Lung carcinoma
CORL279_LUNG	Lung carcinoma
CORL311_LUNG	Lung carcinoma
CORL47_LUNG	Lung carcinoma
CORL88_LUNG	Lung carcinoma
CORL95_LUNG	Lung carcinoma
COV318_OVARY	Ovary carcinoma
COV362_OVARY	Ovary carcinoma
COV434_OVARY	Ovary sex_cord-stromal_tumour
COV644_OVARY	Ovary carcinoma
CW2_LARGE_INTESTINE	Large_intestine carcinoma
D283MED_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system primitive_neuroectodermal_tumour-medulloblastoma
D341MED_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system primitive_neuroectodermal_tumour-medulloblastoma
DANG_PANCREAS	Pancreas carcinoma
DAOY_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system primitive_neuroectodermal_tumour-medulloblastoma
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
DETROIT562_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
DKMG_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
DM3_FIBROBLAST	Pleura mesothelioma
DMS114_LUNG	Lung carcinoma
DMS153_LUNG	Lung carcinoma
DMS273_LUNG	Lung carcinoma
DMS454_LUNG	Lung carcinoma
DMS53_LUNG	Lung carcinoma
DMS79_LUNG	Lung carcinoma
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
DU145_PROSTATE	Prostate carcinoma
DU4475_BREAST	Breast carcinoma
DV90_LUNG	Lung carcinoma
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
EBC1_LUNG	Lung carcinoma
ECC10_STOMACH	Stomach carcinoma
ECC12_STOMACH	Stomach carcinoma
ECGI10_OESOPHAGUS	Oesophagus carcinoma
EFE184_ENDOMETRIUM	Endometrium carcinoma
EFM192A_BREAST	Breast carcinoma
EFM19_BREAST	Breast carcinoma
EFO21_OVARY	Ovary carcinoma
EFO27_OVARY	Ovary carcinoma
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
EKVX_LUNG	Lung carcinoma
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
EN_ENDOMETRIUM	Endometrium carcinoma
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
EPLC272H_LUNG	Lung carcinoma
ES2_OVARY	Ovary carcinoma
ESS1_ENDOMETRIUM	Endometrium carcinoma
EW8_BONE	Bone Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
EWS502_BONE	Bone Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
FADU_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
FTC133_THYROID	Thyroid carcinoma
FTC238_THYROID	Thyroid carcinoma
FU97_STOMACH	Stomach carcinoma
FUOV1_OVARY	Ovary carcinoma
G292CLONEA141B1_BONE	Bone osteosarcoma
G361_SKIN	Skin malignant_melanoma
G401_SOFT_TISSUE	Soft_tissue
G402_SOFT_TISSUE	Soft_tissue
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
GAMG_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
GB1_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
GCIY_STOMACH	Stomach carcinoma
GCT_SOFT_TISSUE	Soft_tissue
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
GI1_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
GMS10_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
GOS3_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
GP2D_LARGE_INTESTINE	Large_intestine carcinoma
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
GSS_STOMACH	Stomach carcinoma
GSU_STOMACH	Stomach carcinoma
H4_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
HARA_LUNG	Lung carcinoma
HCC1143_BREAST	Breast carcinoma
HCC1171_LUNG	Lung carcinoma
HCC1187_BREAST	Breast carcinoma
HCC1195_LUNG	Lung carcinoma
HCC1359_LUNG	Lung carcinoma
HCC1395_BREAST	Breast carcinoma
HCC1419_BREAST	Breast carcinoma
HCC1428_BREAST	Breast carcinoma
HCC1438_LUNG	Lung carcinoma
HCC1500_BREAST	Breast carcinoma
HCC1569_BREAST	Breast carcinoma
HCC1588_LUNG	Lung carcinoma
HCC1599_BREAST	Breast carcinoma
HCC15_LUNG	Lung carcinoma
HCC1806_BREAST	Breast carcinoma
HCC1833_LUNG	Lung carcinoma
HCC1937_BREAST	Breast carcinoma
HCC1954_BREAST	Breast carcinoma
HCC202_BREAST	Breast carcinoma
HCC2108_LUNG	Lung carcinoma
HCC2157_BREAST	Breast carcinoma
HCC2218_BREAST	Breast carcinoma
HCC2279_LUNG	Lung carcinoma
HCC2429_LUNG	NA NA
HCC2450_LUNG	NA NA
HCC2814_LUNG	Lung carcinoma
HCC2935_LUNG	Lung carcinoma
HCC33_LUNG	Lung carcinoma
HCC364_LUNG	Lung carcinoma
HCC366_LUNG	Lung carcinoma
HCC38_BREAST	Breast carcinoma
HCC4006_LUNG	Lung carcinoma
HCC44_LUNG	Lung carcinoma
HCC461_LUNG	NA NA
