Sample_ID	Sample_illustration
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
LC1F_LUNG	Lung carcinoma
LCLC103H_LUNG	Lung carcinoma
LCLC97TM1_LUNG	Lung carcinoma
LI7_LIVER	Liver carcinoma
LK2_LUNG	Lung carcinoma
LMSU_STOMACH	Stomach carcinoma
LN18_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
LN215_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
LN229_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
LN235_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
LN319_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
LN340_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
LN382_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
LN428_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
LN443_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
LN464_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
LNCAPCLONEFGC_PROSTATE	Prostate carcinoma
LNZ308_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
LOUNH91_LUNG	Lung carcinoma
LOVO_LARGE_INTESTINE	Large_intestine carcinoma
LOXIMVI_SKIN	Skin malignant_melanoma
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
LS1034_LARGE_INTESTINE	Large_intestine carcinoma
LS123_LARGE_INTESTINE	Large_intestine carcinoma
LS180_LARGE_INTESTINE	Large_intestine carcinoma
LS411N_LARGE_INTESTINE	Large_intestine carcinoma
LS513_LARGE_INTESTINE	Large_intestine carcinoma
LU65_LUNG	Lung carcinoma
LU99_LUNG	Lung carcinoma
LUDLU1_LUNG	Lung carcinoma
LXF289_LUNG	Lung carcinoma
M059K_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MALME3M_SKIN	Skin malignant_melanoma
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MCAS_OVARY	Ovary carcinoma
MCF7_BREAST	Breast carcinoma
MDAMB134VI_BREAST	Breast carcinoma
MDAMB157_BREAST	Breast carcinoma
MDAMB175VII_BREAST	Breast carcinoma
MDAMB231_BREAST	Breast carcinoma
MDAMB361_BREAST	Breast carcinoma
MDAMB415_BREAST	Breast carcinoma
MDAMB435S_SKIN	Skin malignant_melanoma
MDAMB436_BREAST	Breast carcinoma
MDAMB453_BREAST	Breast carcinoma
MDAMB468_BREAST	Breast carcinoma
MDAPCA2B_PROSTATE	Prostate carcinoma
MDST8_LARGE_INTESTINE	Large_intestine carcinoma
ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MELHO_SKIN	Skin malignant_melanoma
MELJUSO_SKIN	Skin malignant_melanoma
MESSA_SOFT_TISSUE	Soft_tissue
MEWO_SKIN	Skin malignant_melanoma
MFE280_ENDOMETRIUM	Endometrium carcinoma
MFE296_ENDOMETRIUM	Endometrium carcinoma
MFE319_ENDOMETRIUM	Endometrium carcinoma
MG63_BONE	Bone osteosarcoma
MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MHHES1_BONE	Bone Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
MHHNB11_AUTONOMIC_GANGLIA	Autonomic_ganglia neuroblastoma
MIAPACA2_PANCREAS	Pancreas carcinoma
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MKN1_STOMACH	Stomach carcinoma
MKN45_STOMACH	Stomach carcinoma
MKN74_STOMACH	Stomach carcinoma
MKN7_STOMACH	Stomach carcinoma
ML1_THYROID	Thyroid carcinoma
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MON_SOFT_TISSUE	NA NA
MORCPR_LUNG	Lung carcinoma
MPP89_PLEURA	Pleura mesothelioma
MSTO211H_PLEURA	Pleura mesothelioma
MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
NB1_AUTONOMIC_GANGLIA	Autonomic_ganglia neuroblastoma
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
NCCSTCK140_STOMACH	Stomach carcinoma
NCIH1048_LUNG	Lung carcinoma
NCIH1092_LUNG	Lung carcinoma
NCIH1105_LUNG	Lung carcinoma
NCIH1155_LUNG	Lung carcinoma
NCIH1184_LUNG	Lung carcinoma
NCIH1299_LUNG	Lung carcinoma
NCIH1339_LUNG	Lung carcinoma
NCIH1341_LUNG	Lung carcinoma
NCIH1355_LUNG	Lung carcinoma
NCIH1373_LUNG	Lung carcinoma
NCIH1385_LUNG	Lung carcinoma
NCIH1395_LUNG	Lung carcinoma
NCIH1435_LUNG	Lung carcinoma
NCIH1436_LUNG	Lung carcinoma
NCIH1437_LUNG	Lung carcinoma
NCIH146_LUNG	Lung carcinoma
NCIH1563_LUNG	Lung carcinoma
NCIH1568_LUNG	Lung carcinoma
NCIH1573_LUNG	Lung carcinoma
NCIH1581_LUNG	Lung carcinoma
NCIH1618_LUNG	Lung carcinoma
NCIH1623_LUNG	Lung carcinoma
NCIH1648_LUNG	Lung carcinoma
NCIH1650_LUNG	Lung carcinoma
NCIH1651_LUNG	Lung carcinoma
NCIH1666_LUNG	Lung carcinoma
NCIH1693_LUNG	Lung carcinoma
NCIH1694_LUNG	Lung carcinoma
NCIH1703_LUNG	Lung carcinoma
NCIH1734_LUNG	Lung carcinoma
NCIH1755_LUNG	Lung carcinoma
NCIH1781_LUNG	Lung carcinoma
NCIH1792_LUNG	Lung carcinoma
NCIH1793_LUNG	Lung carcinoma
NCIH1819_LUNG	NA NA
NCIH1836_LUNG	Lung carcinoma
NCIH1838_LUNG	Lung carcinoma
NCIH1869_LUNG	Lung carcinoma
NCIH1876_LUNG	Lung carcinoma
NCIH1915_LUNG	Lung carcinoma
NCIH1930_LUNG	Lung carcinoma
NCIH1944_LUNG	Lung carcinoma
NCIH1963_LUNG	Lung carcinoma
NCIH196_LUNG	Lung carcinoma
NCIH1975_LUNG	Lung carcinoma
NCIH2004RT_SOFT_TISSUE	NA NA
NCIH2009_LUNG	Lung carcinoma
NCIH2023_LUNG	Lung carcinoma
NCIH2029_LUNG	Lung carcinoma
NCIH2030_LUNG	Lung carcinoma
NCIH2052_PLEURA	Pleura mesothelioma
NCIH2066_LUNG	Lung carcinoma
NCIH2073_LUNG	Lung carcinoma
NCIH2077_LUNG	NA NA
NCIH2081_LUNG	Lung carcinoma
NCIH2085_LUNG	Lung carcinoma
NCIH2087_LUNG	Lung carcinoma
NCIH209_LUNG	Lung carcinoma
NCIH2106_LUNG	Lung carcinoma
NCIH2110_LUNG	Lung carcinoma
NCIH211_LUNG	Lung carcinoma
NCIH2122_LUNG	Lung carcinoma
NCIH2126_LUNG	Lung carcinoma
NCIH2170_LUNG	Lung carcinoma
NCIH2171_LUNG	Lung carcinoma
NCIH2172_LUNG	Lung carcinoma
NCIH2196_LUNG	Lung carcinoma
NCIH2227_LUNG	Lung carcinoma
NCIH2228_LUNG	Lung carcinoma
NCIH226_LUNG	Lung carcinoma
NCIH2286_LUNG	Lung carcinoma
NCIH2291_LUNG	Lung carcinoma
NCIH2342_LUNG	Lung carcinoma
NCIH2347_LUNG	Lung carcinoma
NCIH23_LUNG	Lung carcinoma
NCIH2405_LUNG	Lung carcinoma
NCIH2444_LUNG	Lung carcinoma
NCIH2452_PLEURA	Pleura mesothelioma
NCIH2882_LUNG	NA NA
NCIH2887_LUNG	NA NA
NCIH28_PLEURA	Pleura mesothelioma
NCIH292_LUNG	Lung carcinoma
NCIH3122_LUNG	NA NA
NCIH322_LUNG	Lung carcinoma
NCIH3255_LUNG	Lung carcinoma
NCIH358_LUNG	Lung carcinoma
NCIH441_LUNG	Lung carcinoma
NCIH446_LUNG	Lung carcinoma
NCIH460_LUNG	Lung carcinoma
NCIH508_LARGE_INTESTINE	Large_intestine carcinoma
NCIH510_LUNG	Lung carcinoma
NCIH520_LUNG	Lung carcinoma
NCIH522_LUNG	Lung carcinoma
NCIH524_LUNG	Lung carcinoma
NCIH526_LUNG	Lung carcinoma
NCIH596_LUNG	Lung carcinoma
NCIH647_LUNG	Lung carcinoma
NCIH650_LUNG	Lung carcinoma
NCIH660_PROSTATE	Prostate carcinoma
NCIH661_LUNG	Lung carcinoma
NCIH684_LIVER	Liver other
NCIH69_LUNG	Lung carcinoma
NCIH716_LARGE_INTESTINE	Large_intestine carcinoma
NCIH727_LUNG	Lung carcinoid-endocrine_tumour
NCIH747_LARGE_INTESTINE	Large_intestine carcinoma
NCIH810_LUNG	Lung carcinoma
NCIH82_LUNG	Lung carcinoma
NCIH838_LUNG	Lung carcinoma
NCIH841_LUNG	Lung carcinoma
NCIH854_LUNG	Lung carcinoma
NCIH889_LUNG	Lung carcinoma
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
NCIN87_STOMACH	Stomach carcinoma
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
NH6_AUTONOMIC_GANGLIA	Autonomic_ganglia neuroblastoma
NHAHTDD_CENTRAL_NERVOUS_SYSTEM	NA NA
NIHOVCAR3_OVARY	Ovary carcinoma
NMCG1_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
NUGC2_STOMACH	Stomach carcinoma
NUGC3_STOMACH	Stomach carcinoma
NUGC4_STOMACH	Stomach carcinoma
OAW28_OVARY	Ovary carcinoma
OAW42_OVARY	Ovary carcinoma
OC314_OVARY	Ovary carcinoma
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
OCIMY5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA NA
OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA NA
OCUM1_STOMACH	Stomach carcinoma
OE19_OESOPHAGUS	Oesophagus carcinoma
OE21_OESOPHAGUS	Oesophagus carcinoma
OE33_OESOPHAGUS	Oesophagus other
OELE_OVARY	Ovary other
ONCODG1_OVARY	Ovary carcinoma
ONS76_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system primitive_neuroectodermal_tumour-medulloblastoma
OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA NA
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
OSRC2_KIDNEY	Kidney carcinoma
OUMS23_LARGE_INTESTINE	Large_intestine carcinoma
OV56_OVARY	Ovary carcinoma
OV7_OVARY	Ovary carcinoma
OV90_OVARY	Ovary carcinoma
OVCAR4_OVARY	Ovary carcinoma
OVCAR8_OVARY	Ovary carcinoma
OVISE_OVARY	Ovary carcinoma
OVK18_OVARY	Ovary carcinoma
OVKATE_OVARY	Ovary carcinoma
OVMANA_OVARY	Ovary carcinoma
OVSAHO_OVARY	Ovary carcinoma
OVTOKO_OVARY	Ovary carcinoma
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
PANC0203_PANCREAS	Pancreas carcinoma
PANC0213_PANCREAS	Pancreas carcinoma
PANC0327_PANCREAS	Pancreas carcinoma
PANC0403_PANCREAS	Pancreas carcinoma
PANC0504_PANCREAS	Pancreas carcinoma
PANC0813_PANCREAS	Pancreas carcinoma
PANC1005_PANCREAS	Pancreas carcinoma
PANC1_PANCREAS	Pancreas carcinoma
PATU8902_PANCREAS	Pancreas carcinoma
PATU8988S_PANCREAS	Pancreas carcinoma
PATU8988T_PANCREAS	Pancreas carcinoma
PC14_LUNG	Lung carcinoma
PC3_PROSTATE	Prostate carcinoma
PC9_LUNG	NA NA
PECAPJ15_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
PECAPJ49_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
PK1_PANCREAS	Pancreas carcinoma
PK45H_PANCREAS	Pancreas carcinoma
PK59_PANCREAS	Pancreas carcinoma
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
PLCPRF5_LIVER	Liver carcinoma
PRECLH_PROSTATE	Prostate other
PSN1_PANCREAS	Pancreas carcinoma
QGP1_PANCREAS	Pancreas carcinoma
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
RCC10RGB_KIDNEY	Kidney carcinoma
RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
RCM1_LARGE_INTESTINE	Large_intestine carcinoma
RDES_BONE	Bone Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
RD_SOFT_TISSUE	Soft_tissue
REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
RERFGC1B_STOMACH	Stomach carcinoma
RERFLCAD1_LUNG	Lung carcinoma
RERFLCAD2_LUNG	Lung carcinoma
RERFLCAI_LUNG	Lung carcinoma
RERFLCKJ_LUNG	Lung carcinoma
RERFLCMS_LUNG	Lung carcinoma
RERFLCSQ1_LUNG	Lung carcinoma
RH18_SOFT_TISSUE	Soft_tissue
RH30_SOFT_TISSUE	Soft_tissue
RH41_SOFT_TISSUE	Soft_tissue
RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
RKN_SOFT_TISSUE	Soft_tissue
RKO_LARGE_INTESTINE	Large_intestine carcinoma
RL952_ENDOMETRIUM	Endometrium carcinoma
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
RMGI_OVARY	Ovary carcinoma
RMUGS_OVARY	Ovary carcinoma
RPMI7951_SKIN	Skin malignant_melanoma
RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
RS5_FIBROBLAST	Pleura mesothelioma
RT112_URINARY_TRACT	Urinary_tract carcinoma
RT4_URINARY_TRACT	Urinary_tract carcinoma
RVH421_SKIN	Skin malignant_melanoma
S117_THYROID	Soft_tissue
SALE_LUNG	Lung other
SAOS2_BONE	Bone osteosarcoma
SBC5_LUNG	Lung carcinoma
SCABER_URINARY_TRACT	Urinary_tract carcinoma
SCC15_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
SCC25_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
SCC4_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
SCC9_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
SCLC21H_LUNG	Lung carcinoma
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
SF126_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
SF172_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
SF268_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
SF295_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
SF539_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
SF767_CERVIX	Central_nervous_system glioma
SH10TC_STOMACH	Stomach carcinoma
SH4_SKIN	Skin malignant_melanoma
SHP77_LUNG	Lung carcinoma
SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
SIHA_CERVIX	NA NA
SIMA_AUTONOMIC_GANGLIA	Autonomic_ganglia neuroblastoma
SJSA1_BONE	Bone osteosarcoma
SKBR3_BREAST	Breast carcinoma
SKCO1_LARGE_INTESTINE	Large_intestine carcinoma
SKES1_BONE	Bone Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
SKHEP1_LIVER	Liver carcinoma
SKLMS1_SOFT_TISSUE	Soft_tissue
SKLU1_LUNG	Lung carcinoma
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
SKMEL1_SKIN	Skin malignant_melanoma
SKMEL24_SKIN	Skin malignant_melanoma
SKMEL28_SKIN	Skin malignant_melanoma
SKMEL30_SKIN	Skin malignant_melanoma
SKMEL31_SKIN	Skin malignant_melanoma
SKMEL3_SKIN	Skin malignant_melanoma
SKMEL5_SKIN	Skin malignant_melanoma
SKMES1_LUNG	Lung carcinoma
SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
SKNAS_AUTONOMIC_GANGLIA	Autonomic_ganglia neuroblastoma
SKNBE2_AUTONOMIC_GANGLIA	Autonomic_ganglia neuroblastoma
SKNDZ_AUTONOMIC_GANGLIA	Autonomic_ganglia neuroblastoma
SKNEP1_BONE	NA NA
SKNFI_AUTONOMIC_GANGLIA	Autonomic_ganglia neuroblastoma
SKNMC_BONE	Bone Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
SKNSH_AUTONOMIC_GANGLIA	Autonomic_ganglia neuroblastoma
SKOV3_OVARY	Ovary carcinoma
SKPNDW_BONE	NA NA
SKRC20_KIDNEY	Kidney carcinoma
SKUT1_SOFT_TISSUE	Soft_tissue
SLR20_KIDNEY	Kidney carcinoma
SLR21_KIDNEY	Kidney carcinoma
SLR23_KIDNEY	Kidney carcinoma
SLR24_KIDNEY	Kidney carcinoma
SLR25_KIDNEY	Kidney carcinoma
SLR26_KIDNEY	Kidney carcinoma
SNB75_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
SNGM_ENDOMETRIUM	Endometrium carcinoma
SNU1033_LARGE_INTESTINE	Large_intestine carcinoma
SNU1040_LARGE_INTESTINE	Large_intestine carcinoma
SNU1041_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
SNU1066_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
SNU1076_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
SNU1077_ENDOMETRIUM	Endometrium carcinoma
SNU1079_BILIARY_TRACT	Biliary_tract carcinoma
SNU1105_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
SNU1196_BILIARY_TRACT	Biliary_tract carcinoma
SNU1197_LARGE_INTESTINE	Large_intestine carcinoma
SNU119_OVARY	Ovary carcinoma
SNU1214_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
SNU1272_KIDNEY	Kidney carcinoma
SNU16_STOMACH	Stomach carcinoma
SNU175_LARGE_INTESTINE	Large_intestine carcinoma
SNU182_LIVER	Liver carcinoma
SNU1_STOMACH	Stomach carcinoma
SNU201_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
SNU213_PANCREAS	Pancreas carcinoma
SNU216_STOMACH	Stomach carcinoma
SNU245_BILIARY_TRACT	Biliary_tract carcinoma
SNU283_LARGE_INTESTINE	Large_intestine carcinoma
SNU308_BILIARY_TRACT	Biliary_tract carcinoma
SNU324_PANCREAS	Pancreas carcinoma
SNU349_KIDNEY	Kidney carcinoma
SNU387_LIVER	Liver carcinoma
SNU398_LIVER	Liver carcinoma
SNU407_LARGE_INTESTINE	Large_intestine carcinoma
SNU410_PANCREAS	Pancreas carcinoma
SNU423_LIVER	Liver carcinoma
SNU449_LIVER	Liver carcinoma
SNU466_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
SNU46_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
SNU475_LIVER	Liver carcinoma
SNU478_BILIARY_TRACT	Biliary_tract carcinoma
SNU489_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
SNU503_LARGE_INTESTINE	Large_intestine carcinoma
SNU520_STOMACH	Stomach carcinoma
SNU5_STOMACH	Stomach carcinoma
SNU601_STOMACH	Stomach carcinoma
SNU61_LARGE_INTESTINE	Large_intestine carcinoma
SNU620_STOMACH	Stomach carcinoma
SNU626_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
SNU668_STOMACH	Stomach carcinoma
SNU685_ENDOMETRIUM	Endometrium carcinoma
SNU719_STOMACH	Stomach carcinoma
SNU738_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
SNU761_LIVER	Liver carcinoma
SNU81_LARGE_INTESTINE	Large_intestine carcinoma
SNU840_OVARY	Ovary carcinoma
SNU869_BILIARY_TRACT	Biliary_tract carcinoma
SNU878_LIVER	Liver carcinoma
SNU886_LIVER	Liver carcinoma
SNU899_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
SNU8_OVARY	Ovary carcinoma
SNUC1_LARGE_INTESTINE	Large_intestine carcinoma
SNUC2A_LARGE_INTESTINE	Large_intestine carcinoma
SNUC4_LARGE_INTESTINE	Large_intestine carcinoma
SNUC5_LARGE_INTESTINE	Large_intestine carcinoma
SQ1_LUNG	Lung carcinoma
SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
STM9101_SOFT_TISSUE	NA NA
SU8686_PANCREAS	Pancreas carcinoma
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
SUIT2_PANCREAS	Pancreas carcinoma
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
